Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
04/24/2017,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,,JPMORGAN CHASE & CO.,AZ,85718,,N/A,Phone,04/24/2017,In progress,Yes,N/A,2464409
05-01-2017,Vehicle loan or lease,Loan,Getting a loan or lease,Fraudulent loan,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",FL,349XX,,,Web,05-01-2017,Closed with non-monetary relief,Yes,N/A,2471580
04/21/2017,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,"McCalla Raymer Pierce, LLC",FL,323XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2447379
04/25/2017,Checking or savings account,Checking account,Managing an account,Funds not handled or disbursed as instructed,,,JPMORGAN CHASE & CO.,MI,483XX,,,Web,04/25/2017,Closed with monetary relief,Yes,N/A,2466121
04/24/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Old information reappears or never goes away,,,"EQUIFAX, INC.",CA,948XX,,,Web,04/24/2017,Closed with explanation,Yes,N/A,2464673
03-05-2017,Credit card,,Closing/Cancelling account,,,,JPMORGAN CHASE & CO.,CO,80601,,Consent not provided,Web,03-05-2017,Closed with explanation,Yes,No,2372298
09/19/2013,Debt collection,Medical,Communication tactics,Frequent or repeated calls,,,"Community Health Investment Company, LLC.",AR,72390,,N/A,Phone,09/19/2013,Closed with non-monetary relief,Yes,No,535686
05-02-2017,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Confusing or missing disclosures,,,,ALLY FINANCIAL INC.,NY,10003,,,Web,05-02-2017,In progress,Yes,N/A,2472808
04/25/2017,Credit card or prepaid card,General-purpose credit card or charge card,Fees or interest,Problem with fees,,,CAPITAL ONE FINANCIAL CORPORATION,GA,303XX,,,Web,04/25/2017,Closed with explanation,Yes,N/A,2466492
04/30/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit repair services,Unexpected or other fees,,,Company believes it acted appropriately as authorized by contract or law,"Capital Accounts, LLC",NC,282XX,,,Web,05-03-2017,Closed with explanation,Yes,N/A,2470968
04/26/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Public record information inaccurate,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,302XX,,,Web,04/26/2017,Closed with non-monetary relief,Yes,N/A,2467081
04/19/2017,Credit reporting,,Incorrect information on credit report,Personal information,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,NH,3825,,Consent not provided,Web,04/19/2017,Closed with non-monetary relief,Yes,No,2443752
04/27/2017,Mortgage,Conventional home mortgage,Closing on a mortgage,,,Company believes complaint represents an opportunity for improvement to better serve consumers,"Shellpoint Partners, LLC",CA,955XX,,,Web,04/27/2017,Closed with explanation,Yes,N/A,2469510
04/27/2017,Debt collection,Auto debt,Written notification about debt,Didn't receive enough information to verify debt,,,NCB MANAGEMENT SERVICES INC,NC,272XX,,,Web,04/27/2017,Closed with explanation,Yes,N/A,2469047
05-02-2017,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Convergent Resources, Inc.",MN,550XX,Servicemember,,Web,05-02-2017,Closed with explanation,Yes,N/A,2472254
04/24/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,NM,87114,,Consent not provided,Web,04/25/2017,Closed with explanation,Yes,N/A,2464515
04-06-2017,Bank account or service,Checking account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98006,,N/A,Referral,04-07-2017,Closed with explanation,Yes,No,2423648
03-05-2017,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,I have contacted Portfolio Recovery Associates on several occasions requesting that this debt either be validated or removed from all XXXX of my credit reports. Portfolio Recovery Associates has failed to provide me with adequate validation. They have yet to provide me with that they have been assigned to this debt by the original creditor or any original documentation from the original creditor.,,PORTFOLIO RECOVERY ASSOCIATES INC,MD,207XX,,Consent provided,Web,03-05-2017,Closed with explanation,Yes,Yes,2372264
04/24/2017,Debt collection,I do not know,Communication tactics,"You told them to stop contacting you, but they keep trying",,,"Diversified Consultants, Inc.",NY,11218,,,Web,04/24/2017,In progress,Yes,N/A,2465170
04/25/2017,Checking or savings account,CD (Certificate of Deposit),Managing an account,Banking errors,,,"CITIZENS FINANCIAL GROUP, INC.",PA,19129,,,Web,04/25/2017,Closed with explanation,Yes,N/A,2466270
04/27/2017,Debt collection,Medical debt,Attempts to collect debt not owed,Debt was paid,,,"Designed Receivable Solultions, Inc.",CA,92399,,,Web,04/27/2017,Closed with explanation,Yes,N/A,2469138
12/28/2015,Mortgage,Other mortgage,Settlement process and costs,,,Company chooses not to provide a public response,U.S. BANCORP,FL,33175,,N/A,Phone,12/29/2015,Closed with explanation,Yes,No,1719213
04/21/2017,Debt collection,I do not know,Improper contact or sharing of info,Contacted employer after asked not to,,,CFS2 Inc.,GA,305XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2446848
04-01-2016,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,OR,97267,"Older American, Servicemember",N/A,Referral,04-01-2016,Closed with non-monetary relief,Yes,No,1859971
05-03-2017,Debt collection,Medical debt,Threatened to contact someone or share information improperly,Talked to a third-party about your debt,,,"Community Health Investment Company, LLC.",UT,840XX,,,Web,05-03-2017,Closed with explanation,Yes,N/A,2474242
04/28/2017,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,,,"ProCollect, Inc",AR,722XX,,,Web,04/28/2017,Closed with explanation,Yes,N/A,2470310
04/26/2017,Mortgage,Home equity loan or line of credit (HELOC),Applying for a mortgage or refinancing an existing mortgage,,,,OCWEN LOAN SERVICING LLC,NJ,8086,,N/A,Postal mail,04/28/2017,Closed with explanation,Yes,N/A,2467841
03-05-2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Key Bank never sent me a copy of my XXXX for my mortgage through them. Key Bank recently purchased First Niagara Bank, whom I initially applied for my mortgage through. I emailed Key Bank, and have called them twice, asking for them to please forward me a copy of my documents so I could file my taxes. So far, and it 's been well over a month, I still have n't received the forms.",,KEYCORP,NY,136XX,,Consent provided,Web,03-05-2017,Closed with explanation,Yes,No,2372233
04/27/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,,,EXPERIAN DELAWARE GP,IA,503XX,Older American,,Web,04/27/2017,In progress,Yes,N/A,2469158
05-03-2017,Debt collection,Credit card debt,Took or threatened to take negative or legal action,Sued you without properly notifying you of lawsuit,,Company believes it acted appropriately as authorized by contract or law,"Direct Recovery Services, LLC",CA,935XX,,,Web,05-03-2017,Closed with explanation,Yes,N/A,2474018
04/24/2017,Debt collection,Medical debt,False statements or representation,Attempted to collect wrong amount,,,"Harvard Collections, LLC",GA,305XX,Servicemember,,Web,04/24/2017,Closed with explanation,Yes,N/A,2464421
04/24/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Personal information incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,KY,402XX,,,Web,04/24/2017,Closed with non-monetary relief,Yes,N/A,2464364
04/24/2017,"Payday loan, title loan, or personal loan",Installment loan,Problem with the payoff process at the end of the loan,,,,CNG FINANCIAL CORPORATION,AZ,864XX,,,Web,04/24/2017,Closed with explanation,Yes,N/A,2464664
04/24/2017,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,,"United Resource Systems, Inc",GA,30296,,,Web,04/24/2017,Closed with explanation,Yes,N/A,2465196
04/24/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,,,EXPERIAN DELAWARE GP,OR,97741,,N/A,Referral,04/24/2017,In progress,Yes,N/A,2464828
04/26/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,IL,62226,,N/A,Postal mail,04/27/2017,Closed with non-monetary relief,Yes,N/A,2467702
04/26/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,TN,381XX,,,Web,04/26/2017,Closed with non-monetary relief,Yes,N/A,2467472
04/25/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,,,"EQUIFAX, INC.",CA,93306,,,Web,04/25/2017,In progress,Yes,N/A,2465312
04/25/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,104XX,,,Web,04/25/2017,Closed with explanation,Yes,N/A,2466063
04/25/2017,Debt collection,I do not know,Communication tactics,"Used obscene, profane, or other abusive language",,,"Commonwealth Financial Systems, Inc.",DE,199XX,,,Web,04/25/2017,Closed with explanation,Yes,N/A,2466629
04/20/2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,"R.M. Galicia, Inc.",NV,89029,Older American,Consent not provided,Web,04/21/2017,Closed with explanation,Yes,No,2443910
04/29/2017,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,"Pro Com Services of Illinois, Inc.",IL,62655,,Consent not provided,Web,04/29/2017,Closed with explanation,Yes,N/A,2470713
04/15/2014,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,"EQUIFAX, INC.",MA,2301,,N/A,Web,05-07-2014,Closed with explanation,Yes,No,808677
04/26/2017,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"National Enterprise Systems, Inc.",FL,328XX,,,Web,04/27/2017,Closed with explanation,Yes,N/A,2467648
04/24/2017,Debt collection,Medical debt,Took or threatened to take negative or legal action,Seized or attempted to seize your property,,,Bonneville Billing and Collections,ID,83402,,N/A,Phone,04/24/2017,Closed with explanation,Yes,N/A,2465251
04/24/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,,EXPERIAN DELAWARE GP,,,,N/A,Phone,04/25/2017,In progress,Yes,N/A,2465158
04/26/2017,Debt collection,Payday loan debt,False statements or representation,Attempted to collect wrong amount,,,Ad Astra Recovery Services Inc,TX,774XX,,,Web,04/26/2017,Closed with explanation,Yes,N/A,2467288
04/24/2017,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,,Bonneville Billing and Collections,AZ,863XX,Servicemember,,Web,04/24/2017,Closed with explanation,Yes,N/A,2464777
04/28/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Investigation took more than 30 days,,,"Fidelity National Information Services, Inc. (FNIS)",GA,302XX,,,Web,04/28/2017,In progress,Yes,N/A,2469836
04/25/2017,"Credit reporting, credit repair services, or other personal consumer reports",Other personal consumer report,Improper use of your report,Reporting company used your report improperly,,,"Checkr, Inc",,,,N/A,Referral,04/26/2017,Closed with explanation,Yes,N/A,2466931
04-10-2017,Credit card,,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,FL,32244,Servicemember,Consent not provided,Web,04-10-2017,Closed with explanation,Yes,No,2427084
04/25/2017,Student loan,Federal student loan servicing,Struggling to repay your loan,Can't get other flexible options for repaying your loan,,,ConServe,CT,065XX,,,Web,04/25/2017,Closed with explanation,Yes,N/A,2465358
04/24/2017,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Don't agree with the fees charged,,,"Navient Solutions, LLC.",MI,483XX,,,Web,04/24/2017,Closed with explanation,Yes,N/A,2464732
03-05-2017,Credit reporting,,Incorrect information on credit report,Information is not mine,"I was a victim of False Impersonation, and I am one of the agents for the company XXXX. Someone how several fraudulent accounts that appeared on my personal credit ended up on the company credit report as well as my personal home address. 
I have sent in a copy of my personal police report 3 times advising Equifax that the accounts were fraudulent and should not have appeared on the company credit report or my home address ... I was told my address and the account were removed in XX/XX/2014 to date, the same accounts are still present- nothing has been removed. 

I am requesting account numbers XXXX XXXX and XXXX be removed as well as address XXXX, XXXX CA XXXX",,"EQUIFAX, INC.",CA,946XX,,Consent provided,Web,03-05-2017,Closed with explanation,Yes,Yes,2372044
04/24/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,,,"EQUIFAX, INC.",TN,384XX,,,Web,04/25/2017,Closed with explanation,Yes,N/A,2464582
04/26/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Unable to get your credit report or credit score,Problem getting your free annual credit report,,,"EQUIFAX, INC.",AZ,852XX,,,Web,04/26/2017,Closed with explanation,Yes,N/A,2467191
03/22/2017,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,PA,18017,,Consent not provided,Web,03/22/2017,Closed with non-monetary relief,Yes,No,2400318
04/17/2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,,,"ARS National Services, Inc.",IL,61103,,,Web,04/17/2017,Closed with explanation,Yes,No,2438106
04/26/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,OH,44103,,N/A,Postal mail,04/27/2017,Closed with explanation,Yes,N/A,2468037
04/25/2017,Checking or savings account,Other banking product or service,Managing an account,Deposits and withdrawals,,,JPMORGAN CHASE & CO.,NV,89183,,N/A,Referral,04/27/2017,In progress,Yes,N/A,2467918
04/27/2017,Debt collection,Medical debt,Took or threatened to take negative or legal action,Threatened to arrest you or take you to jail if you do not pay,,,"WAKEFIELD & ASSOCIATES, INC.",TX,78217,,,Web,04/27/2017,Closed with explanation,Yes,N/A,2469128
04/25/2017,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,,,"Data and Contact Management Solutions, LLC",FL,32333,,Other,Web,04/25/2017,Closed with explanation,Yes,N/A,2466598
04/25/2017,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,,Rent Recovery Solutions,IN,46228,,,Web,04/25/2017,Closed with explanation,Yes,N/A,2466461
04/25/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Old information reappears or never goes away,,,EXPERIAN DELAWARE GP,,,Servicemember,,Web,04/25/2017,In progress,Yes,N/A,2465474
04/18/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Credit Protection Association, L.P.",IL,604XX,,,Web,04/18/2017,Closed with explanation,No,No,2437538
04/25/2017,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,,"ONLINE Information Services, Inc.",NV,89012,,,Web,04/25/2017,Closed with explanation,Yes,N/A,2466227
04/24/2017,Checking or savings account,Checking account,Improper use of your report,Reporting company used your report improperly,,,FIFTH THIRD FINANCIAL CORPORATION,MI,490XX,,,Web,04/24/2017,Closed with monetary relief,Yes,N/A,2465133
04/26/2017,Vehicle loan or lease,Lease,Problems at the end of the loan or lease,"Excess mileage, damage, or wear fees, or other problem after the lease is finish",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,NJ,088XX,,,Web,04/26/2017,Closed with explanation,Yes,N/A,2468134
04/26/2017,Student loan,Federal student loan servicing,Struggling to repay your loan,Problem lowering your monthly payments,,,"Navient Solutions, LLC.",LA,705XX,,,Web,04/26/2017,Closed with explanation,Yes,N/A,2467318
04/24/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",OH,442XX,,,Web,04/25/2017,In progress,Yes,N/A,2464575
04/24/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Public record information inaccurate,,,"EQUIFAX, INC.",GA,300XX,Servicemember,,Web,04/24/2017,In progress,Yes,N/A,2464787
04/25/2017,Debt collection,Federal student loan debt,Threatened to contact someone or share information improperly,Contacted your employer,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"National Enterprise Systems, Inc.",FL,32765,,Consent not provided,Web,04/25/2017,Closed with explanation,Yes,N/A,2465423
04/24/2017,Debt collection,Credit card debt,Communication tactics,Frequent or repeated calls,,,PORTFOLIO RECOVERY ASSOCIATES INC,IL,60614,,,Web,04/24/2017,Closed with non-monetary relief,Yes,N/A,2464917
04/26/2017,Mortgage,Other type of mortgage,Struggling to pay mortgage,,,,"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",CT,,,N/A,Referral,04/26/2017,Closed with explanation,Yes,N/A,2467015
04/27/2017,Vehicle loan or lease,Loan,Managing the loan or lease,Problem with fees charged,,,ALLY FINANCIAL INC.,GA,313XX,,,Web,04/28/2017,In progress,Yes,N/A,2468230
04/28/2017,Debt collection,Credit card debt,Took or threatened to take negative or legal action,Sued you without properly notifying you of lawsuit,,,"Weltman, Weinberg & Reis Co., L.P.A.",PA,195XX,,,Web,04/28/2017,Closed with explanation,Yes,N/A,2469444
04/26/2017,Vehicle loan or lease,Loan,Managing the loan or lease,Billing problem,,,ALLY FINANCIAL INC.,NJ,077XX,,,Web,04/26/2017,In progress,Yes,N/A,2466916
04/21/2017,Credit reporting,,Incorrect information on credit report,Personal information,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,11224,,Consent not provided,Web,04/21/2017,Closed with non-monetary relief,Yes,No,2445139
05-02-2017,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"I.C. System, Inc.",SC,290XX,,,Web,05-02-2017,Closed with explanation,Yes,N/A,2472897
04/25/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,,,"EQUIFAX, INC.",GA,303XX,,,Web,04/25/2017,In progress,Yes,N/A,2466021
04/18/2017,Debt collection,I do not know,Improper contact or sharing of info,Contacted employer after asked not to,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Credit Protection Association, L.P.",IL,606XX,,,Web,04/18/2017,Closed with explanation,No,No,2441474
04/25/2017,Debt collection,I do not know,Communication tactics,"You told them to stop contacting you, but they keep trying",,Company believes complaint is the result of an isolated error,ERC,PA,190XX,,,Web,04/25/2017,Closed with explanation,Yes,N/A,2465388
03-05-2017,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",MI,49341,,Consent not provided,Web,03-05-2017,Closed with explanation,Yes,No,2372213
05-03-2017,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,,"BAYVIEW LOAN SERVICING, LLC",,,,,Web,05-03-2017,In progress,Yes,N/A,2474745
04/24/2017,Mortgage,Home equity loan or line of credit (HELOC),Struggling to pay mortgage,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing LLC,CA,96067,,Consent not provided,Web,04/24/2017,Closed with explanation,Yes,N/A,2465069
03/31/2017,Mortgage,Other mortgage,Settlement process and costs,,"I have been a victim of fraud. Back in XX/XX/XXXX I received a phone call from Wachovia about refinancing my mortgage, it seem like a very good idea, since I was in a pick a payment loan with a negative amortization. We decided to take Wachovia 's offer and refi. They they told me that it would be a better idea to modify my mortgage. I was on the phone for about an hour, providing them with all the necessary information. They told us that it would take 2 to 4 weeks before we would get modified, 3 weeks went by, since I did not hear anything from Wachovia, I decided to call them for an update. finally I spoke to a representative ( XXXX ) and he told me that I was missing some documents. ( bank statements ) I told him that I had faxed over the bank statements 3 weeks ago. 
Neatness to say I faxed over the documents again, by then my mortgage was due, so asked XXXX, do I pay my mortgage or do I wait for you to call me. He said that I was modifying and I did not need to pay the mortgage, it was going to be added on to the new mortgage. but I did need to keep continuing paying my 2nd mortgage. 
By XX/XX/XXXX I received a letter for Wachovia stating that I did not pay my mortgage. And I could be facing foreclosure. I immediately call Wachovia about this letter. The funny thing about Wachovia, I could NEVER get the same person on the phone. Now, they told me that I was missing documents, ( most recent pay-stubs ) now I started to certify all letters to Wachovia and fax them also. 
By XX/XX/XXXX. I received another letter in the mail, this time it said that I was going into foreclosure, by now we had enough of this, so I called Wachovia to tell them that I did not want to participate in there games, and that I needed my original loan! until they said that I own them {$18000.00}. How can I owe you that much in 3 months! When my mortgage was only {$1600.00}. a month. 
By now I was very scared, so Wachovia left me with no choice but to continue with this nightmare Again they asked me for more documents, by now there was no way out for me and my family, Wachovia was running the show and we had no control of our life 's. but we wore still paying our 2nd mortgage. 
I spoke to so many Wachovia representative, ( have a record of ) every month they would ask me for the same things. I have {$470.00} of certified letters. It was always something they need it, but the funny part about it, they would never call me, I would ALWAYS have to call them, and of course, I would never talk to same person! 
This nightmare went on for over a year, by now my credit was ruined, the humiliation from our families and friends was too much to bear, people would knock on our door all day long. Take pictures of our house. so our marriage was also ruined. I suffered XXXX. 

At this time Wells Fargo took over Wachovia, and now I was dealing with Wells Fargo In XX/XX/XXXX I was finally approved. They gave me 40 YEARS ON MY MORTGAGE. I only had 24 yrs left, now I have 40 yrs. THANK YOU Wells Fargo. 

To this day my credit was ruined, and Wells Fargo refuses to work with me on fixing my credit, it took them 13 months to get an answer on a modification that I had no control of.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",NJ,070XX,,Consent provided,Web,03/31/2017,Closed with explanation,Yes,No,2413184
04/28/2017,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,Company believes the complaint is the result of a misunderstanding,"Hunter Warfield, Inc.",GA,30126,,Consent not provided,Web,04/28/2017,Closed with explanation,Yes,N/A,2468975
04/24/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"EQUIFAX, INC.",IL,60610,,,Web,04/24/2017,In progress,Yes,N/A,2464434
04/30/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,,"EQUIFAX, INC.",MI,483XX,,,Web,04/30/2017,Closed with explanation,Yes,N/A,2471086
04/26/2017,Credit card or prepaid card,General-purpose credit card or charge card,Fees or interest,Charged too much interest,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NV,891XX,,,Web,04/26/2017,Closed with monetary relief,Yes,N/A,2468136
04/26/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Problem with personal statement of dispute,,,EXPERIAN DELAWARE GP,TX,773XX,,,Web,04/26/2017,In progress,Yes,N/A,2468160
04/13/2017,Credit card,,Transaction issue,,,,JPMORGAN CHASE & CO.,CA,90292,,,Web,04/13/2017,Closed with monetary relief,Yes,No,2433796
04/25/2017,Credit card or prepaid card,Store credit card,Getting a credit card,Card opened as result of identity theft or fraud,,,Alliance Data Card Services,CA,94601,,N/A,Postal mail,04/25/2017,Closed with explanation,Yes,N/A,2466071
04/24/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,FL,321XX,Servicemember,,Web,04/25/2017,Closed with explanation,Yes,N/A,2464419
04/27/2017,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,"ONEMAIN FINANCIAL HOLDINGS, LLC.",PA,151XX,Servicemember,,Web,05-02-2017,In progress,Yes,N/A,2468693
04/24/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Old information reappears or never goes away,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MS,391XX,Servicemember,,Web,04/25/2017,Closed with explanation,Yes,N/A,2465467
04-05-2017,Credit card,,Credit determination,,,,CAPITAL ONE FINANCIAL CORPORATION,FL,33133,,N/A,Postal mail,04-05-2017,Closed with explanation,Yes,No,2421088
04/21/2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,CAPITAL ONE FINANCIAL CORPORATION,IL,604XX,,Other,Web,04/21/2017,Closed with explanation,Yes,No,2445978
04/26/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,,,EXPERIAN DELAWARE GP,LA,703XX,,,Web,04/27/2017,In progress,Yes,N/A,2466884
04/25/2017,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,,,NAVY FEDERAL CREDIT UNION,WA,984XX,Servicemember,,Web,04/25/2017,In progress,Yes,N/A,2465594
04/25/2017,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,Company believes complaint is the result of an isolated error,"Shellpoint Partners, LLC",CA,917XX,,Other,Web,04/25/2017,Closed with explanation,Yes,N/A,2466407
04-03-2017,Bank account or service,Checking account,"Account opening, closing, or management",,,,BBVA COMPASS FINANCIAL CORPORATION,TX,78589,,N/A,Referral,04/19/2017,Closed with monetary relief,Yes,No,2415478
04/21/2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Received bad information about my loan,,,"Navient Solutions, LLC.",CA,92150,,,Web,04/25/2017,Closed with explanation,Yes,No,2446705
04/25/2017,Debt collection,Medical debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,,,"Franklin Collection Service, Inc.",MS,397XX,,,Web,04/25/2017,Closed with explanation,Yes,N/A,2466599
04/25/2017,Checking or savings account,Checking account,Managing an account,Fee problem,,,FIFTH THIRD FINANCIAL CORPORATION,OH,45224,,,Web,04/25/2017,Closed with explanation,Yes,N/A,2465412
04/25/2017,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,,,"Navient Solutions, LLC.",CA,928XX,,,Web,04/25/2017,Closed with explanation,Yes,N/A,2466357
04/26/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Personal information incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,91303,Servicemember,Consent not provided,Web,04/26/2017,Closed with explanation,Yes,N/A,2467307
04/25/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Difficulty submitting a dispute or getting information about a dispute over the,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,142XX,,,Web,04/27/2017,Closed with explanation,Yes,N/A,2466593
